listing_id,source,locality,locality_norm,bhk,area_sqft,rent_monthly,deposit,property_type,furnishing,floor_num,total_floors,first_seen_at,source_url,predicted_rent,value_score,is_deal,lat,lon,dist_nearest_metro_km,nearest_metro_station,dist_orr_km,dist_whitefield_km,dist_ecity_km,dist_manyata_km,rent_per_sqft,save_pct,deposit_to_rent,bhk_int,floor_ratio,source_bucket
416,nobroker,Yelahanka,yelahanka,1.0,250.0,3200.0,15000.0,independent_house,unfurnished,,,2026-08-21T10:10:22Z,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-yelahanka-bangalore-for-rs-3200/ff80818155f3f9b9015601ba1e934bcd/detail,5275.41748046875,0.393412936161469,1.0,13.1006,77.5963,10.022,Yeshwanthpur,7.206,19.886,29.231,6.754,12.8,39.3,4.69,1,,nobroker
751,nobroker,outside_coverage,outside_coverage,2.0,1200.0,15000.0,100000.0,independent_house,semi,,,2026-09-13T06:57:19Z,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in--tavarekere-bangalore-for-rs-15000/8a9fb98599ccf5750199cd14067e0bc1/detail,24718.513671875,0.39316739674897333,1.0,,,,,,,,,12.5,39.3,6.67,2,,nobroker
442,nobroker,Yelahanka,yelahanka,2.0,1200.0,15000.0,60000.0,apartment,semi,1.0,6.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-yelahanka-bangalore-for-rs-15000/8a9f8c03912dcbff01912e2fc64812d2/detail,23984.2734375,0.37459018556104634,1.0,13.1006,77.5963,10.022,Yeshwanthpur,7.206,19.886,29.231,6.754,12.5,37.5,4.0,2,0.17,nobroker
535,nobroker,Whitefield,whitefield,1.0,750.0,10000.0,30000.0,independent_house,semi,1.0,3.0,2026-08-30T07:39:25Z,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-10000/8aa9d48d9e10cdd1019e11ced19d7bc1/detail,15340.7568359375,0.34814167860520145,1.0,12.9698,77.75,2.125,Kadugodi,5.823,2.257,16.932,16.297,13.333333333333334,34.8,3.0,1,0.33,nobroker
550,nobroker,Electronic City,electronic_city,1.0,700.0,9000.0,40000.0,apartment,semi,1.0,27.0,2026-08-30T07:39:25Z,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-electronic-city-bangalore-for-rs-9000/8a9fb0827cffa5c9017cffc599fc229e/detail,13717.21875,0.34389032033188216,1.0,12.8452,77.6602,7.697,Silk Institute,9.063,17.672,0.0,22.593,12.857142857142858,34.4,4.44,1,0.04,nobroker
366,nobroker,outside_coverage,outside_coverage,2.0,750.0,12000.0,50000.0,apartment,semi,1.0,7.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hongasandra-bangalore-for-rs-12000/8a9f934d730481f50173082cea186115/detail,18185.037109375,0.34011682638725027,1.0,,,,,,,,,16.0,34.0,4.17,2,0.14,nobroker
209,nobroker,Electronic City,electronic_city,2.0,1100.0,14000.0,50000.0,apartment,semi,1.0,6.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-electronic-city-bangalore-for-rs-14000/8aa9c1a99ac86aa3019ac8972ff00874/detail,20188.328125,0.30652999528657104,1.0,12.8452,77.6602,7.697,Silk Institute,9.063,17.672,0.0,22.593,12.727272727272727,30.7,3.57,2,0.17,nobroker
580,nobroker,outside_coverage,outside_coverage,1.0,800.0,10000.0,25000.0,apartment,semi,,,2026-08-30T07:39:25Z,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-j--p--nagar-bangalore-for-rs-10000/8aa9b76ea03c244e01a03c8637fd3660/detail,14201.6357421875,0.29585576045343037,1.0,,,,,,,,,12.5,29.6,2.5,1,,nobroker
62,nobroker,outside_coverage,outside_coverage,1.0,600.0,7500.0,30000.0,independent_house,unfurnished,1.0,6.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-jigani-bangalore-for-rs-7500/ff808181620b087f01620e632875057f/detail,10545.9814453125,0.28882863687062377,1.0,,,,,,,,,12.5,28.9,4.0,1,0.17,nobroker
169,nobroker,Bellandur,bellandur,2.0,900.0,20000.0,66000.0,independent_house,semi,,,2026-08-21T10:10:22Z,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-22000/8aa9a4ff9e0acd39019e0b8379fe555d/detail,27618.39453125,0.275844945390647,1.0,12.925,77.682,7.429,Indiranagar,4.143,8.973,9.183,14.875,22.22222222222222,27.6,3.3,2,,nobroker
159,nobroker,Bellandur,bellandur,1.0,450.0,8500.0,30000.0,independent_house,unfurnished,1.0,6.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-8500/8a9f91f9735cbb0b017360f8624468bf/detail,11722.7041015625,0.2749113236708714,1.0,12.925,77.682,7.429,Indiranagar,4.143,8.973,9.183,14.875,18.88888888888889,27.5,3.53,1,0.17,nobroker
187,nobroker,Marathahalli,marathahalli,1.0,800.0,11000.0,50000.0,apartment,semi,1.0,6.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-marathahalli-bangalore-for-rs-11000/ff8081816c46b015016c46b26cd1006c/detail,14912.8095703125,0.2623791011253761,1.0,12.9591,77.6974,3.948,Hoodi,0.0,5.181,13.291,12.635,13.75,26.2,4.55,1,0.17,nobroker
33,nobroker,HSR Layout,hsr_layout,2.0,800.0,20000.0,50000.0,,semi,1.0,3.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-20000/ff808181594a89df01595d98019b1b55/detail,27040.5390625,0.26036977466413996,1.0,12.9081,77.6476,5.672,Jayadeva,2.941,12.943,7.126,15.466,25.0,26.0,2.5,2,0.33,nobroker
636,nobroker,Bellandur,bellandur,1.0,200.0,10000.0,20000.0,independent_house,semi,,,2026-09-06T06:38:56Z,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-10000/8aa9ab1ca061097901a0623840806610/detail,13455.7529296875,0.25682345296806497,1.0,12.925,77.682,7.429,Indiranagar,4.143,8.973,9.183,14.875,50.0,25.7,2.0,1,,nobroker
819,nobroker,outside_coverage,outside_coverage,2.0,1150.0,19500.0,75000.0,apartment,semi,1.0,9.0,2026-09-20T07:15:05Z,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-dreamz-suvidha-bangalore-for-rs-19500/8a9f9c827bd4f4b2017bd5796e712ece/detail,26049.78125,0.25143325339824113,1.0,,,,,,,,,16.956521739130434,25.1,3.85,2,0.11,nobroker
