listing_id,source,locality,locality_norm,bhk,area_sqft,rent_monthly,deposit,property_type,furnishing,floor_num,total_floors,first_seen_at,source_url,predicted_rent,value_score,is_deal,lat,lon,dist_nearest_metro_km,nearest_metro_station,dist_orr_km,dist_whitefield_km,dist_ecity_km,dist_manyata_km,rent_per_sqft,save_pct,deposit_to_rent,bhk_int,floor_ratio,source_bucket
64,nobroker,Koramangala,koramangala,1.0,600.0,13000.0,13000.0,independent_house,semi,,,2026-08-21T10:10:22Z,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-koramangala-bangalore-for-rs-13000/8aa9cb5d9d9f8860019da001ae7438cb/detail,14111.2080078125,0.07874648344757537,0.0,12.9352,77.6245,3.515,Jayanagar,1.937,13.393,10.73,12.183,21.666666666666668,7.9,1.0,1,,nobroker
66,nobroker,Koramangala,koramangala,3.0,1600.0,55000.0,200000.0,apartment,semi,1.0,15.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-koramangala-bangalore-for-rs-55000/8a9f9743906e8bf101906ec8a6d612a6/detail,54996.75390625,-5.902336991622162e-05,0.0,12.9352,77.6245,3.515,Jayanagar,1.937,13.393,10.73,12.183,34.375,-0.0,3.64,3,0.07,nobroker
67,nobroker,Koramangala,koramangala,1.0,500.0,30000.0,100000.0,independent_house,semi,1.0,5.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-koramangala-bangalore-for-rs-30000/8a9ff682860b253d01860b64f80d1fff/detail,24612.23828125,-0.21890580032513676,0.0,12.9352,77.6245,3.515,Jayanagar,1.937,13.393,10.73,12.183,60.0,-21.9,3.33,1,0.2,nobroker
69,nobroker,Koramangala,koramangala,2.0,1400.0,45000.0,400000.0,independent_house,full,1.0,22.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-koramangala-bangalore-for-rs-45000/8a9fad827eec1a76017eec629f672352/detail,45001.48828125,3.307182288502438e-05,0.0,12.9352,77.6245,3.515,Jayanagar,1.937,13.393,10.73,12.183,32.142857142857146,0.0,8.89,2,0.05,nobroker
70,nobroker,Koramangala,koramangala,2.0,1200.0,40000.0,100000.0,independent_house,semi,1.0,19.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-koramangala-bangalore-for-rs-40000/ff80818153454433015346cb283d29b8/detail,39990.69921875,-0.00023257360915658222,0.0,12.9352,77.6245,3.515,Jayanagar,1.937,13.393,10.73,12.183,33.333333333333336,-0.0,2.5,2,0.05,nobroker
72,nobroker,Koramangala,koramangala,3.0,1800.0,55000.0,150000.0,apartment,unfurnished,1.0,5.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-koramangala-bangalore-for-rs-55000/8a9fd35583ab75910183abf3266753d1/detail,55325.75390625,0.005887925301514969,0.0,12.9352,77.6245,3.515,Jayanagar,1.937,13.393,10.73,12.183,30.555555555555557,0.6,2.73,3,0.2,nobroker
73,nobroker,Indiranagar,indiranagar,1.0,300.0,15000.0,50000.0,villa,semi,1.0,4.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-indiranagar-bangalore-for-rs-15000/8aa9928ca07fef5501a0806221c25401/detail,14445.65234375,-0.03837470562482711,0.0,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,50.0,-3.8,3.33,1,0.25,nobroker
74,nobroker,outside_coverage,outside_coverage,3.0,1650.0,99000.0,600000.0,apartment,semi,1.0,2.0,2026-08-21T10:10:22Z,https://www.nobroker.in/403-gone-ballabhgarh_faridabad-prjt-670904062f52ca0cd6d82535?nbFr=carousel_premium,82052.765625,-0.20654068447190138,0.0,,,,,,,,,60.0,-20.7,6.06,3,0.5,nobroker
75,nobroker,Indiranagar,indiranagar,1.0,600.0,15000.0,100000.0,independent_house,semi,1.0,7.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-indiranagar--bangalore-for-rs-16000/8a9fa787989263920198929d854919e1/detail,15004.7666015625,0.00031767248962097394,0.0,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,25.0,0.0,6.67,1,0.14,nobroker
76,nobroker,Indiranagar,indiranagar,4.0,2400.0,125000.0,700000.0,apartment,semi,1.0,4.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/4-bhk-apartment-for-rent-in-indiranagar-bangalore-for-rs-125000/8aa9b3b89f59894d019f59bdce20156a/detail,129931.5625,0.0379550773123351,0.0,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,52.083333333333336,3.8,5.6,4,0.25,nobroker
77,nobroker,outside_coverage,outside_coverage,3.0,2200.0,114999.0,425000.0,independent_house,full,1.0,9.0,2026-08-21T10:10:22Z,https://www.nobroker.in/403-gone-ballabhgarh_faridabad-prjt-670904062f52ca0cd6d82535?nbFr=carousel_premium,115676.421875,0.005856179366716775,0.0,,,,,,,,,52.27227272727273,0.6,3.7,3,0.11,nobroker
78,nobroker,Indiranagar,indiranagar,1.0,400.0,6500.0,50000.0,independent_house,semi,1.0,2.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-indiranagar-bangalore-for-rs-6500/8aa9974ca0097d5101a009cf5a3b4349/detail,7624.15966796875,0.14744702589213374,0.0,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,16.25,14.7,7.69,1,0.5,nobroker
79,nobroker,Indiranagar,indiranagar,3.0,1700.0,90000.0,400000.0,apartment,semi,1.0,6.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-indiranagar-bangalore-for-rs-90000/8a9f87838c352e9f018c356b61161dc8/detail,97053.34375,0.07267491749865651,0.0,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,52.94117647058823,7.3,4.44,3,0.17,nobroker
80,nobroker,Indiranagar,indiranagar,2.0,600.0,26500.0,100000.0,independent_house,semi,1.0,28.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-indiranagar-bangalore-for-rs-25000/8aa9b52aa0843a4501a08514d64c1645/detail,26501.37109375,5.173670996680449e-05,0.0,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,44.166666666666664,0.0,3.77,2,0.04,nobroker
81,nobroker,outside_coverage,outside_coverage,2.0,900.0,2000.0,1800000.0,apartment,semi,1.0,11.0,2026-08-21T10:10:22Z,https://www.nobroker.in/403-gone-ballabhgarh_faridabad-prjt-670904062f52ca0cd6d82535?nbFr=carousel_premium,,,,,,,,,,,,2.2222222222222223,,900.0,2,0.09,nobroker
82,nobroker,Indiranagar,indiranagar,2.0,800.0,65000.0,200000.0,independent_house,semi,1.0,5.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-indiranagar-bangalore-for-rs-65000/8aa99bf89fea971c019fec09cf3a1b31/detail,42532.50390625,-0.5282429678551909,0.0,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,81.25,-52.8,3.08,2,0.2,nobroker
83,nobroker,Indiranagar,indiranagar,1.0,600.0,1.0,150000.0,apartment,unfurnished,1.0,7.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-halasuru-bangalore-for-rs-20000/8a9fc982826706400182676e98e63f25/detail?nbFr=carousel_twentyFourHours_rent,,,,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,0.0016666666666666668,,150000.0,1,0.14,nobroker
84,nobroker,outside_coverage,outside_coverage,3.0,1300.0,65000.0,300000.0,independent_house,semi,1.0,7.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-indranagar-bangalore-for-rs-65000/8aa9aab19c30e742019c310a39670635/detail,53233.359375,-0.22103885163644155,0.0,,,,,,,,,50.0,-22.1,4.62,3,0.14,nobroker
